AVAIL|ACTIVE_FEATURES|CPUS|TMP_DISK|FREE_MEM|AVAIL_FEATURES|GROUPS|OVERSUBSCRIBE|TIMELIMIT|MEMORY|HOSTNAMES|NODE_ADDR|PRIO_TIER|ROOT|JOB_SIZE|STATE|USER|VERSION|WEIGHT|S:C:T|NODES(A/I) |MAX_CPUS_PER_NODE |CPUS(A/I/O/T) |NODES |REASON |NODES(A/I/O/T) |GRES |TIMESTAMP |PRIO_JOB_FACTOR |DEFAULTTIME |PREEMPT_MODE |NODELIST |CPU_LOAD |PARTITION |PARTITION |ALLOCNODES |STATE |USER |CLUSTER |SOCKETS |CORES |THREADS 
up|node021,centos7|16|0|N/A|node021,centos7|all|NO|12:00:00|64000|node021|node021|10|no|1-infinite|alloc|root|N/A|1|2:8:1|1/0 |UNLIMITED |16/0/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node021 |16.09 |sched_any |sched_any |all |allocated |root(0) |N/A |2 |8 |1 
up|node022,centos7|16|0|N/A|node022,centos7|all|NO|12:00:00|64000|node022|node022|10|no|1-infinite|alloc|root|N/A|1|2:8:1|1/0 |UNLIMITED |16/0/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node022 |17.13 |sched_any |sched_any |all |allocated |root(0) |N/A |2 |8 |1 
up|node025,centos7|16|0|N/A|node025,centos7|all|NO|12:00:00|64000|node025|node025|10|no|1-infinite|alloc|Unknown|N/A|1|2:8:1|1/0 |UNLIMITED |16/0/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node025 |14.94 |sched_any |sched_any |all |allocated |Unknown |N/A |2 |8 |1 
up|node026,centos7|16|0|N/A|node026,centos7|all|NO|12:00:00|64000|node026|node026|10|no|1-infinite|alloc|Unknown|N/A|1|2:8:1|1/0 |UNLIMITED |16/0/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node026 |17.00 |sched_any |sched_any |all |allocated |Unknown |N/A |2 |8 |1 
up|node106,centos7|16|0|N/A|node106,centos7|all|NO|12:00:00|64000|node106|node106|10|no|1-infinite|alloc|root|N/A|1|2:8:1|1/0 |UNLIMITED |16/0/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node106 |16.01 |sched_any |sched_any |all |allocated |root(0) |N/A |2 |8 |1 
up|node107,centos7|16|0|N/A|node107,centos7|all|NO|12:00:00|64000|node107|node107|10|no|1-infinite|alloc|root|N/A|1|2:8:1|1/0 |UNLIMITED |16/0/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node107 |9.13 |sched_any |sched_any |all |allocated |root(0) |N/A |2 |8 |1 
up|node108,centos7|16|0|N/A|node108,centos7|all|NO|12:00:00|64000|node108|node108|10|no|1-infinite|alloc|root|N/A|1|2:8:1|1/0 |UNLIMITED |16/0/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node108 |22.37 |sched_any |sched_any |all |allocated |root(0) |N/A |2 |8 |1 
up|node170,centos7|16|0|N/A|node170,centos7|all|NO|12:00:00|64000|node170|node170|10|no|1-infinite|alloc|root|N/A|1|2:8:1|1/0 |UNLIMITED |16/0/0/16 |1 |none |1/0/0/1 |gpu:1 |Unknown |10 |n/a |OFF |node170 |16.04 |sched_any |sched_any |all |allocated |root(0) |N/A |2 |8 |1 
up|node001,centos7|16|0|N/A|node001,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node001|node001|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |down_no_ipmi |0/0/1/1 |(null) |2021-10-05T08:18:37 |10 |n/a |OFF |node001 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node002,centos7|16|0|N/A|node002,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node002|node002|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |down_no_ipmi |0/0/1/1 |(null) |2021-10-05T08:18:37 |10 |n/a |OFF |node002 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
up|node003,centos7|16|0|N/A|node003,centos7|sched_mit_hill,slurm_admin|NO|12:00:00|64000|node003|node003|10|no|1-infinite|drain*|root|N/A|1|2:8:1|0/0 |UNLIMITED |0/0/16/16 |1 |down_no_ipmi |0/0/1/1 |(null) |2021-10-05T08:18:37 |10 |n/a |OFF |node003 |N/A |sched_mit_hill |sched_mit_hill |all |drained* |root(0) |N/A |2 |8 |1 
