G1St3100m_S30	1_trimmed	145079915
G1St3100m_S30	2_trimmed	145079915
G1St3100m_S30	unpaired_trimmed	10444754
G1St35m_S29	1_trimmed	120514189
G1St35m_S29	2_trimmed	120514189
G1St35m_S29	unpaired_trimmed	8589209
G1St55m_S31	1_trimmed	153236875
G1St55m_S31	2_trimmed	153236875
G1St55m_S31	unpaired_trimmed	13667954
G1St560m_S32	1_trimmed	147019808
G1St560m_S32	2_trimmed	147019808
G1St560m_S32	unpaired_trimmed	12266502
G1St95m_S33	1_trimmed	175758197
G1St95m_S33	2_trimmed	175758197
G1St95m_S33	unpaired_trimmed	16019199
G1St965m_S34	1_trimmed	176607637
G1St965m_S34	2_trimmed	176607637
G1St965m_S34	unpaired_trimmed	14106272
G1UW10_S9	1_trimmed	173094344
G1UW10_S9	2_trimmed	173094344
G1UW10_S9	unpaired_trimmed	14642547
G1UW11_S10	1_trimmed	197163529
G1UW11_S10	2_trimmed	197163529
G1UW11_S10	unpaired_trimmed	14686899
G1UW12_S11	1_trimmed	153016661
G1UW12_S11	2_trimmed	153016661
G1UW12_S11	unpaired_trimmed	11868944
G1UW13_S12	1_trimmed	146963516
G1UW13_S12	2_trimmed	146963516
G1UW13_S12	unpaired_trimmed	11701493
G1UW14_S13	1_trimmed	103172318
G1UW14_S13	2_trimmed	103172318
G1UW14_S13	unpaired_trimmed	8474548
G1UW15_S14	1_trimmed	115724369
G1UW15_S14	2_trimmed	115724369
G1UW15_S14	unpaired_trimmed	12244115
G1UW16_S15	1_trimmed	124306049
G1UW16_S15	2_trimmed	124306049
G1UW16_S15	unpaired_trimmed	11296090
G1UW17_S16	1_trimmed	104695656
G1UW17_S16	2_trimmed	104695656
G1UW17_S16	unpaired_trimmed	10347892
G1UW18_S17	1_trimmed	194911714
G1UW18_S17	2_trimmed	194911714
G1UW18_S17	unpaired_trimmed	16470484
G1UW19_S18	1_trimmed	109243588
G1UW19_S18	2_trimmed	109243588
G1UW19_S18	unpaired_trimmed	9795914
G1UW1_S1	1_trimmed	87997173
G1UW1_S1	2_trimmed	87997173
G1UW1_S1	unpaired_trimmed	9450566
G1UW20_S19	1_trimmed	133904483
G1UW20_S19	2_trimmed	133904483
G1UW20_S19	unpaired_trimmed	12472600
G1UW21_S20	1_trimmed	138965821
G1UW21_S20	2_trimmed	138965821
G1UW21_S20	unpaired_trimmed	13328914
G1UW22_S21	1_trimmed	136057199
G1UW22_S21	2_trimmed	136057199
G1UW22_S21	unpaired_trimmed	11559134
G1UW23_S22	1_trimmed	135477004
G1UW23_S22	2_trimmed	135477004
G1UW23_S22	unpaired_trimmed	13894992
G1UW24_S23	1_trimmed	187244664
G1UW24_S23	2_trimmed	187244664
G1UW24_S23	unpaired_trimmed	18081489
G1UW25_S24	1_trimmed	150041991
G1UW25_S24	2_trimmed	150041991
G1UW25_S24	unpaired_trimmed	13554566
G1UW26_S25	1_trimmed	142224872
G1UW26_S25	2_trimmed	142224872
